Cellules de Leydig;Cellules interstitielles
Cellules de Schultze;Cellules réceptrices olfactives
Cellules de Sertoli;Cellules de soutien des gamètes
Centre phrénique;Centre tendineux du diaphragme
Cerveau intermédiaire;Diencéphale
Chaîne des osselets;Osselets de l'audition
Chaîne sympathique latéro-vertébrale;Tronc sympathique
Chair Carrée De Sylvius;Carré Plantaire
Circonvolution;Gyrus
Circonvolution de Heschl / Circonvolution temporale transverse;Gyrus temporal transverse
Circonvolution du corps calleux;Gyrus cingulaire
Cloison recto-vaginale;Fascia recto-vaginal
Colonnes de Bertin;Colonnes rénales
Colonnes de Morgagni;Colonnes anales
Conduit Auditif;Méat Acoustique
Condyle Externe;Condyle Latéral
Condyle Interne;Condyle Médial
Cônes efférents;Canalicules efférents
Corne d'Ammon;Hippocampe propre
Corps de Luys;Noyau subthalamique
Corps de Wolf;Mésonéphros
Corps genouillé;Corps géniculé
Corps pinéal / Epiphyse cérébrale;Glande pinéale
Corps pituitaire;Hypophyse
Corps restiforme;Pédoncule cérébelleux inférieur
Corps thyroïde;Glande thyroïde
Cotyle;Acetabulum
Couche interne du muscle thyro-aryténoïdien inférieur;Muscle vocal
Coulisse Bicipitale;Sillon Intertuberculaire
Couronne rayonnante;Corona radiata
Court Péronier Latéral;Court Fibulaire
Courte Portion Du Biceps;Chef Court Du Biceps
Couturier;Sartorius
Crête Iliaque;Pecten Du Pubis
Crêtes de Duret;Crêtes fibreuses de la glande mammaire
Creux axillaire;Fosse axillaire
Creux Poplité;Fosse Poplitée
Cubitus;Ulna
Cuboïde;Os cuboïde
Cul-de-sac de Douglas (homme ou femme);Excavation ou poche recto-utérine
Cul-de-sac vaginal;Fornix vaginal
Cupule Radiale;Fovéa Radiale
Décussation de Wernekinck;Décussation des pédoncules cérébelleux supérieurs
Demi-membraneux;Semi-membraneux
Demi-tendineux;Semi-tendineux
Deuxième Cunéiforme;Os Cunéiforme Intermédiaire
Deuxième Phalange;Phalange Intermédiaire
Diverticule de Meckel;Vestige du conduit vitellin
Dôme De L'astragale;Trochlée Du Talus
Droit Antérieur;Droit Fémoral
Droit Interne;Gracile
Échancrure Claviculaire;Incisure Claviculaire
Échancrure Coracoïdienne;Incisure Scapulaire
Echancrure Intercondylienne;Fosse Intercondylienne
Echancrure Ischio-pubienne;Incisure Acétabulaire
Echancrure sus-orbitaire;Echancrure supra orbitaire
Enclume;Incus
Epicondyle;Epicondyle Latéral
Epine Tibiale Externe-interne;Tubercule Intercondylaire Latéral-médial
Epiploon gastro-splénique;Ligament gastro-splénique
Epiploon pancréatico-splénique;Ligament pancréatico-splénique
Epitrochlée;Epicondyle Médial
Espace de Bogros;Espace rétro-inguinal
Espace prévésical (ou de Retzius);Espace rétro-pubien
Ethmoïde;Os éthmoïdal
Etrier;Stapes
Extenseur commun des orteils;Long extenseur des orteils
Extenseur Propre Du Gros Orteil;Muscle Long Extenseur De L'hallux
Externe;Latéral
Faisceau Antérieur Du Ligament Latéral Externe;Ligament Talo-fibulaire Antérieur
Faisceau cortico-spinal / Faisceau pyramidal;Tractus pyramidal cortico-spinal
Faisceau d'Arnold / Faisceau fronto-pontin;Tractus fronto-pontin
Faisceau de Betcherew;Tractus central de la calotte
Faisceau de Schütz;Faisceau longitudinal dorsal
Faisceau de Turk-Meynert / Faisceau temporo-pontin;Tractus temporo-pontin
Faisceau de Vicq d'Azyr;Faisceau mamillo-thalamique
Faisceau en croissant de Déjerine / Faisceau spino-thalamique;Tractus spino-thalamique
Faisceau géniculé;Faisceau cortico-nucléaire
Faisceau longitudinal postérieur;Faisceau longitudinal médial
Faisceau Postérieur Du Ligament Latéral Externe;Ligament Talo-fibulaire Postérieur
Faisceau solitaire;Tractus solitaire
Faisceau spino-cérébelleux direct;Tractus spino-cérébelleux direct (ou spino-cérébelleux dorsal)
Faisceau vestibulo-spinal;Tractus vestibulo-spinal
Fascia de Buck;Fascia profond du pénis
Fente de Larrey;Hiatus costo-xyphoïdien
Fléchisseur commun profond;Fléchisseur profond des doigts
Fléchisseur commun superficiel;Fléchisseur supérficiel des doigts
Foramen ovale de Pacchioni;Incisure de la tente
Fosse Sous-épineuse;Fosse Infra-épineuse
Fosse Sus-épineuse;Fosse Supra-épineuse
Fossette Sus-condylienne;Fosse Radiale
Fossette Sus-trochléenne;Fosse Coronoïdienne
Fourchette Sternale;Incisure Jugulaire
Ganglion de Corti;Ganglion spiral
Grand complexus;Semi-épineux de la tête
Grand dentelé;Dentelé antérieur
Grande Cavité Sigmoïde (cubitus);Incisure Trochléaire
Gros Orteil;Hallux
Ilion;Ilium
Ilôts de Langerhans;Ilôts pancréatiques
Interne;Médial
Ischion;Ischium
Jambier Antérieur;Tibial Antérieur
Jambier Postérieur;Tibial Postérieur
